Date,AK confirmed,AL confirmed,AK deaths,AL deaths
2020-07-15,1628,59067,17,1211
2020-07-16,1680,61088,17,1230
2020-07-17,1722,63091,17,1265
2020-07-18,1849,65234,18,1286
2020-07-19,1946,67011,18,1287
2020-07-20,1949,68891,18,1291
2020-07-21,2041,70358,18,1303
2020-07-22,2132,71813,19,1364
2020-07-23,2194,74212,19,1397
2020-07-24,2249,76005,19,1438
2020-07-25,2339,78130,20,1456
2020-07-26,2525,79294,20,1473
2020-07-27,2623,82295,21,1491
2020-07-28,2730,82366,22,1491
2020-07-29,2798,82366,22,1538
2020-07-30,2879,85762,23,1565
2020-07-31,2879,87723,23,1580
2020-08-01,3137,89349,24,1603
2020-08-02,3281,91444,24,1627
2020-08-03,3342,92661,25,1633
2020-08-04,3395,93702,25,1666
2020-08-05,3449,94654,25,1695
2020-08-06,3484,96592,25,1714
